Departamento,Código Divipola Departamento,Municipio,Código Divipola Municipio,Programa,Año de Asignacion,Estado,No.SFV Asignados,Valor Asignado
AMAZONAS,91,LA CHORRERA,91405,Convocatoria,2023,Asignados,100,10440000000
AMAZONAS,91,LA CHORRERA,91405,Convocatoria,2024,Asignados,14,1638000000
ANTIOQUIA,05,MEDELLIN,05001,Sentencias judiciales,2022,Asignados,19,1443810000
ANTIOQUIA,05,MEDELLIN,05001,Sentencias judiciales,2023,Asignados,107,9886046300
ANTIOQUIA,05,MEDELLIN,05001,Sentencias judiciales,2024,Asignados,5,510831100
ANTIOQUIA,05,ABEJORRAL,05002,Sentencias judiciales,2023,Asignados,1,95500000
ANTIOQUIA,05,ABEJORRAL,05002,Sentencias judiciales,2024,Asignados,1,101400000
ANTIOQUIA,05,ABRIAQUI,05004,Sentencias judiciales,2023,Asignados,1,81200000
ANTIOQUIA,05,AMAGA,05030,Convocatoria,2024,Asignados,65,527800000
ANTIOQUIA,05,ANDES,05034,Convocatoria,2024,Asignados,1,8120000
ANTIOQUIA,05,APARTADO,05045,Sentencias judiciales,2022,Asignados,3,222675000
ANTIOQUIA,05,APARTADO,05045,Sentencias judiciales,2023,Asignados,1,100700000
ANTIOQUIA,05,APARTADO,05045,Sentencias judiciales,2024,Asignados,1,104000000
ANTIOQUIA,05,ARMENIA,05059,Convocatoria,2024,Asignados,3,24360000
ANTIOQUIA,05,CHIGORODO,05172,Sentencias judiciales,2022,Asignados,1,70000000
ANTIOQUIA,05,CHIGORODO,05172,Sentencias judiciales,2023,Asignados,1,86300000
ANTIOQUIA,05,COCORNA,05197,Sentencias judiciales,2023,Asignados,1,91600000
ANTIOQUIA,05,CONCORDIA,05209,Sentencias judiciales,2023,Asignados,1,85750000
ANTIOQUIA,05,CONCORDIA,05209,Sentencias judiciales,2024,Asignados,1,98800000
ANTIOQUIA,05,EL BAGRE,05250,Sentencias judiciales,2023,Asignados,1,92200000
ANTIOQUIA,05,EL BAGRE,05250,Sentencias judiciales,2024,Asignados,1,100750000
ANTIOQUIA,05,GIRARDOTA,05308,Sentencias judiciales,2023,Asignados,1,90950000
ANTIOQUIA,05,GIRARDOTA,05308,Sentencias judiciales,2024,Asignados,1,104650000
ANTIOQUIA,05,GRANADA,05313,Sentencias judiciales,2023,Asignados,7,662975000
ANTIOQUIA,05,GRANADA,05313,Sentencias judiciales,2024,Asignados,6,631400400
ANTIOQUIA,05,GUARNE,05318,Convocatoria,2024,Asignados,8,64960000
ANTIOQUIA,05,LA UNION,05400,Sentencias judiciales,2023,Asignados,2,162400000
ANTIOQUIA,05,LIBORINA,05411,Convocatoria,2024,Asignados,5,40600000
ANTIOQUIA,05,MACEO,05425,Sentencias judiciales,2024,Asignados,2,217100000
ANTIOQUIA,05,MUTATA,05480,Convocatoria,2024,Asignados,12,97440000
ANTIOQUIA,05,NARIÑO,05483,Sentencias judiciales,2022,Asignados,2,166000000
ANTIOQUIA,05,NARIÑO,05483,Sentencias judiciales,2023,Asignados,1,101350000
ANTIOQUIA,05,NARIÑO,05483,Sentencias judiciales,2024,Asignados,1,106275000
ANTIOQUIA,05,NECOCLI,05490,Convocatoria,2022,Asignados,16,1120000000
ANTIOQUIA,05,NECOCLI,05490,Convocatoria,2023,Asignados,78,6333600000
ANTIOQUIA,05,NECOCLI,05490,Convocatoria,2024,Asignados,4,364000000
ANTIOQUIA,05,NECOCLI,05490,Sentencias judiciales,2023,Asignados,1,95240000
ANTIOQUIA,05,NECHI,05495,Sentencias judiciales,2023,Asignados,2,190400000
ANTIOQUIA,05,NECHI,05495,Sentencias judiciales,2024,Asignados,1,99000000
ANTIOQUIA,05,PEÑOL,05541,Convocatoria,2024,Asignados,6,140400000
ANTIOQUIA,05,PEQUE,05543,Convocatoria,2024,Asignados,13,304200000
ANTIOQUIA,05,SAN CARLOS,05649,Sentencias judiciales,2023,Asignados,7,662750000
ANTIOQUIA,05,SAN CARLOS,05649,Sentencias judiciales,2024,Asignados,4,402015900
ANTIOQUIA,05,SAN JUAN DE URABA,05659,Convocatoria,2022,Asignados,43,3010000000
ANTIOQUIA,05,SAN JUAN DE URABA,05659,Convocatoria,2023,Asignados,55,4466000000
ANTIOQUIA,05,SAN JUAN DE URABA,05659,Convocatoria,2024,Asignados,2,182000000
ANTIOQUIA,05,SAN LUIS,05660,Sentencias judiciales,2023,Asignados,1,96605000
ANTIOQUIA,05,SAN LUIS,05660,Sentencias judiciales,2024,Asignados,4,409684000
ANTIOQUIA,05,SAN RAFAEL,05667,Convocatoria,2024,Asignados,5,40600000
ANTIOQUIA,05,SAN RAFAEL,05667,Sentencias judiciales,2023,Asignados,2,203600000
ANTIOQUIA,05,SAN RAFAEL,05667,Sentencias judiciales,2024,Asignados,2,202150000
ANTIOQUIA,05,SAN ROQUE,05670,Sentencias judiciales,2023,Asignados,2,174750000
ANTIOQUIA,05,SAN VICENTE,05674,Sentencias judiciales,2023,Asignados,1,97450000
ANTIOQUIA,05,SANTO DOMINGO,05690,Sentencias judiciales,2024,Asignados,1,96200000
ANTIOQUIA,05,SONSON,05756,Sentencias judiciales,2023,Asignados,1,86200450
ANTIOQUIA,05,SOPETRAN,05761,Convocatoria,2024,Asignados,16,129920000
ANTIOQUIA,05,TURBO,05837,Sentencias judiciales,2023,Asignados,4,339300000
ANTIOQUIA,05,TURBO,05837,Sentencias judiciales,2024,Asignados,5,497250000
ANTIOQUIA,05,URRAO,05847,Convocatoria,2024,Asignados,13,105560000
ANTIOQUIA,05,YOLOMBO,05890,Sentencias judiciales,2023,Asignados,1,81200000
ANTIOQUIA,05,ZARAGOZA,05895,Sentencias judiciales,2024,Asignados,1,100000000
ARAUCA,81,ARAUQUITA,81065,Convocatoria,2024,Asignados,235,9822627600
ARAUCA,81,ARAUQUITA,81065,ETCR,2022,Asignados,177,15930000000
ARAUCA,81,FORTUL,81300,Convocatoria,2022,Asignados,49,3148740000
ARAUCA,81,FORTUL,81300,Convocatoria,2023,Asignados,30,2236248000
ARAUCA,81,TAME,81794,Convocatoria,2022,Asignados,50,3213000000
ARAUCA,81,TAME,81794,Convocatoria,2023,Asignados,29,2161706400
BOGOTA D. C.,11,BOGOTA,11001,Sentencias judiciales,2022,Asignados,17,1318263860
BOGOTA D. C.,11,BOGOTA,11001,Sentencias judiciales,2023,Asignados,12,1065570200
BOGOTA D. C.,11,BOGOTA,11001,Sentencias judiciales,2024,Asignados,1,100100000
BOLIVAR,13,CARTAGENA,13001,Convocatoria,2024,Asignados,38,969760000
BOLIVAR,13,CARTAGENA,13001,Sentencias judiciales,2022,Asignados,10,751388650
BOLIVAR,13,CARTAGENA,13001,Sentencias judiciales,2023,Asignados,32,2875915140
BOLIVAR,13,CARTAGENA,13001,Sentencias judiciales,2024,Asignados,18,1927230690
BOLIVAR,13,ARENAL,13042,Convocatoria,2022,Asignados,31,1992060000
BOLIVAR,13,ARENAL,13042,Convocatoria,2023,Asignados,1,74541600
BOLIVAR,13,ARENAL,13042,Convocatoria,2024,Asignados,8,668304000
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,Sentencias judiciales,2022,Asignados,5,373704800
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,Sentencias judiciales,2023,Asignados,24,2164457750
BOLIVAR,13,EL CARMEN DE BOLIVAR,13244,Sentencias judiciales,2024,Asignados,9,954738540
BOLIVAR,13,MORALES,13473,Convocatoria,2023,Asignados,32,2385331200
BOLIVAR,13,MORALES,13473,Convocatoria,2024,Asignados,8,668304000
BOLIVAR,13,SAN ESTANISLAO,13647,Sentencias judiciales,2023,Asignados,2,177060800
BOLIVAR,13,SAN JACINTO,13654,Sentencias judiciales,2023,Asignados,1,90862800
BOLIVAR,13,SAN JACINTO,13654,Sentencias judiciales,2024,Asignados,1,114979690
BOLIVAR,13,SAN JUAN NEPOMUCENO,13657,Sentencias judiciales,2024,Asignados,1,116920580
BOLIVAR,13,SAN PABLO,13670,Convocatoria,2022,Asignados,29,1863540000
BOLIVAR,13,SAN PABLO,13670,Convocatoria,2023,Asignados,3,223624800
BOLIVAR,13,SAN PABLO,13670,Convocatoria,2024,Asignados,8,668304000
BOLIVAR,13,SANTA ROSA DEL SUR,13688,Convocatoria,2022,Asignados,28,1799280000
BOLIVAR,13,SANTA ROSA DEL SUR,13688,Convocatoria,2023,Asignados,4,298166400
BOLIVAR,13,SANTA ROSA DEL SUR,13688,Convocatoria,2024,Asignados,8,668304000
BOLIVAR,13,SIMITI,13744,Convocatoria,2022,Asignados,30,1927800000
BOLIVAR,13,SIMITI,13744,Convocatoria,2023,Asignados,2,149083200
BOLIVAR,13,SIMITI,13744,Convocatoria,2024,Asignados,8,668304000
BOLIVAR,13,VILLANUEVA,13873,Sentencias judiciales,2023,Asignados,1,85008000
BOLIVAR,13,ZAMBRANO,13894,Sentencias judiciales,2022,Asignados,1,89963440
BOLIVAR,13,ZAMBRANO,13894,Sentencias judiciales,2024,Asignados,4,419692000
BOYACA,15,ARCABUCO,15051,Convocatoria,2022,Asignados,11,770000000
BOYACA,15,ARCABUCO,15051,Convocatoria,2023,Asignados,2,162400000
BOYACA,15,ARCABUCO,15051,Convocatoria,2024,Asignados,2,182000000
BOYACA,15,CHITARAQUE,15185,Convocatoria,2022,Asignados,19,1330000000
BOYACA,15,MONIQUIRA,15469,Convocatoria,2022,Asignados,23,1610000000
BOYACA,15,MONIQUIRA,15469,Convocatoria,2024,Asignados,2,182000000
BOYACA,15,PUERTO BOYACA,15572,Sentencias judiciales,2024,Asignados,2,182000000
BOYACA,15,SANTANA,15686,Convocatoria,2023,Asignados,18,1461600000
BOYACA,15,SANTANA,15686,Convocatoria,2024,Asignados,2,182000000
BOYACA,15,TOGUI,15816,Convocatoria,2022,Asignados,20,1400000000
CALDAS,17,FILADELFIA,17272,Convocatoria,2023,Asignados,12,974400000
CALDAS,17,FILADELFIA,17272,Convocatoria,2024,Asignados,9,819000000
CALDAS,17,LA MERCED,17388,Convocatoria,2023,Asignados,11,893200000
CALDAS,17,LA MERCED,17388,Convocatoria,2024,Asignados,4,364000000
CALDAS,17,MANZANARES,17433,Sentencias judiciales,2023,Asignados,1,81200000
CALDAS,17,MARMATO,17442,Convocatoria,2023,Asignados,13,1055600003
CALDAS,17,MARMATO,17442,Convocatoria,2024,Asignados,7,637000000
CALDAS,17,RIOSUCIO,17614,Convocatoria,2023,Asignados,11,893200000
CALDAS,17,RIOSUCIO,17614,Convocatoria,2024,Asignados,14,1274000000
CALDAS,17,SAMANA,17662,Sentencias judiciales,2022,Asignados,1,84950000
CALDAS,17,SAMANA,17662,Sentencias judiciales,2024,Asignados,1,109200000
CALDAS,17,SUPIA,17777,Convocatoria,2023,Asignados,18,1461600003
CALDAS,17,SUPIA,17777,Convocatoria,2024,Asignados,2,182000000
CALDAS,17,VILLAMARIA,17873,Sentencias judiciales,2023,Asignados,1,86200000
CAQUETA,18,FLORENCIA,18001,Convocatoria,2023,Asignados,42,3410400000
CAQUETA,18,FLORENCIA,18001,Convocatoria,2024,Asignados,27,534641538
CAQUETA,18,EL DONCELLO,18247,Convocatoria,2024,Asignados,11,298780000
CAQUETA,18,EL DONCELLO,18247,ETCR,2023,Asignados,43,4489200000
CAQUETA,18,EL DONCELLO,18247,ETCR,2024,Asignados,61,7137000000
CAQUETA,18,LA MONTAÑITA,18410,Convocatoria,2024,Asignados,26,2366000000
CAQUETA,18,PUERTO RICO,18592,Convocatoria,2024,Asignados,37,3367000000
CASANARE,85,AGUAZUL,85010,Convocatoria,2023,Asignados,22,1786400000
CASANARE,85,CHAMEZA,85015,Convocatoria,2023,Asignados,40,3248000000
CASANARE,85,NUNCHIA,85225,Convocatoria,2023,Asignados,17,1380400000
CASANARE,85,RECETOR,85279,Convocatoria,2023,Asignados,16,1299200000
CASANARE,85,TAURAMENA,85410,Convocatoria,2023,Asignados,18,1461600000
CAUCA,19,POPAYAN,19001,Compromiso,2022,Asignados,9,167475861
CAUCA,19,POPAYAN,19001,Compromiso,2023,Asignados,12,285109440
CAUCA,19,POPAYAN,19001,Sentencias judiciales,2022,Asignados,18,1334206756
CAUCA,19,POPAYAN,19001,Sentencias judiciales,2023,Asignados,9,770787400
CAUCA,19,POPAYAN,19001,Sentencias judiciales,2024,Asignados,2,187767500
CAUCA,19,CAJIBIO,19130,Compromiso,2024,Asignados,15,1365000000
CAUCA,19,CAJIBIO,19130,Convocatoria,2024,Asignados,18,457310886
CAUCA,19,CAJIBIO,19130,Sentencias judiciales,2023,Asignados,2,162400000
CAUCA,19,CAJIBIO,19130,Sentencias judiciales,2024,Asignados,3,273000000
CAUCA,19,CALDONO,19137,Compromiso,2022,Asignados,37,688511873
CAUCA,19,CALDONO,19137,Compromiso,2023,Asignados,2,47518240
CAUCA,19,CALDONO,19137,Compromiso,2024,Asignados,1,23759120
CAUCA,19,CALDONO,19137,Convocatoria,2024,Asignados,17,449799761
CAUCA,19,CALDONO,19137,ETCR,2022,Asignados,54,4860000000
CAUCA,19,CALDONO,19137,ETCR,2023,Asignados,35,3654000000
CAUCA,19,CALDONO,19137,ETCR,2024,Asignados,49,5733000000
CAUCA,19,CALOTO,19142,Compromiso,2022,Asignados,13,241909577
CAUCA,19,CALOTO,19142,Compromiso,2023,Asignados,1,23759120
CAUCA,19,EL TAMBO,19256,Compromiso,2022,Asignados,13,241909577
CAUCA,19,EL TAMBO,19256,Compromiso,2023,Asignados,3,71277360
CAUCA,19,EL TAMBO,19256,Compromiso,2024,Asignados,35,2916036480
CAUCA,19,EL TAMBO,19256,Convocatoria,2024,Asignados,17,428999273
CAUCA,19,GUAPI,19318,Convocatoria,2024,Asignados,67,6097000000
CAUCA,19,INZA,19355,Compromiso,2022,Asignados,65,2309187793
CAUCA,19,INZA,19355,Compromiso,2023,Asignados,30,1492780800
CAUCA,19,INZA,19355,Compromiso,2024,Asignados,12,285109440
CAUCA,19,JAMBALO,19364,Compromiso,2023,Asignados,7,166313840
CAUCA,19,LA SIERRA,19392,Sentencias judiciales,2023,Asignados,1,81200000
CAUCA,19,LA VEGA,19397,Compromiso,2022,Asignados,22,409385438
CAUCA,19,LA VEGA,19397,Compromiso,2023,Asignados,12,285109440
CAUCA,19,LA VEGA,19397,Compromiso,2024,Asignados,5,118795600
CAUCA,19,LA VEGA,19397,Sentencias judiciales,2023,Asignados,2,193163200
CAUCA,19,LOPEZ DE MICAY,19418,Convocatoria,2023,Asignados,67,5534405087
CAUCA,19,MORALES,13473,Compromiso,2024,Asignados,11,1001000000
CAUCA,19,MORALES,13473,Convocatoria,2024,Asignados,14,384799713
CAUCA,19,PAEZ,15514,Compromiso,2021,Asignados,27,1602067491
CAUCA,19,PAEZ,15514,Compromiso,2022,Asignados,220,13053883260
CAUCA,19,PAEZ,15514,Compromiso,2023,Asignados,30,2220787520
CAUCA,19,PATIA,19532,Compromiso,2024,Asignados,17,1547000000
CAUCA,19,PATIA,19532,Convocatoria,2024,Asignados,34,713250228
CAUCA,19,PIENDAMO - TUNIA,19548,Compromiso,2024,Asignados,29,2639000000
CAUCA,19,PIENDAMO - TUNIA,19548,Convocatoria,2024,Asignados,24,608397099
CAUCA,19,PURACE,19585,Compromiso,2022,Asignados,22,409385438
CAUCA,19,PURACE,19585,Compromiso,2023,Asignados,11,261350320
CAUCA,19,ROSAS,19622,Compromiso,2023,Asignados,1,23759120
CAUCA,19,ROSAS,19622,Convocatoria,2024,Asignados,12,327599649
CAUCA,19,SANTANDER DE QUILICHAO,19698,Compromiso,2022,Asignados,23,427993867
CAUCA,19,SANTANDER DE QUILICHAO,19698,Compromiso,2023,Asignados,14,332627680
CAUCA,19,SANTANDER DE QUILICHAO,19698,Compromiso,2024,Asignados,2,47518240
CAUCA,19,SANTANDER DE QUILICHAO,19698,Sentencias judiciales,2023,Asignados,1,81200000
CAUCA,19,SILVIA,19743,Compromiso,2022,Asignados,15,279126435
CAUCA,19,SILVIA,19743,Compromiso,2023,Asignados,10,237591200
CAUCA,19,SILVIA,19743,Compromiso,2024,Asignados,13,1115759120
CAUCA,19,SILVIA,19743,Convocatoria,2024,Asignados,18,441997645
CAUCA,19,TIMBIO,19807,Compromiso,2024,Asignados,32,2912000000
CAUCA,19,TIMBIO,19807,Convocatoria,2023,Asignados,5,104396983
CAUCA,19,TIMBIO,19807,Convocatoria,2024,Asignados,13,335399155
CAUCA,19,TIMBIO,19807,Sentencias judiciales,2024,Asignados,1,91000000
CAUCA,19,TIMBIQUI,19809,Convocatoria,2023,Asignados,46,3735200000
CAUCA,19,TORIBIO,19821,Compromiso,2022,Asignados,12,223301148
CAUCA,19,TORIBIO,19821,Compromiso,2023,Asignados,8,190072960
CAUCA,19,TOTORO,19824,Compromiso,2022,Asignados,15,279126435
CAUCA,19,TOTORO,19824,Compromiso,2023,Asignados,13,308868560
CAUCA,19,TOTORO,19824,Compromiso,2024,Asignados,2,47518240
CESAR,20,VALLEDUPAR,20001,Convocatoria,2022,Asignados,36,2313360000
CESAR,20,VALLEDUPAR,20001,Convocatoria,2023,Asignados,4,298166400
CESAR,20,VALLEDUPAR,20001,Convocatoria,2024,Asignados,91,2518945078
CESAR,20,VALLEDUPAR,20001,Sentencias judiciales,2023,Asignados,3,286404300
CESAR,20,VALLEDUPAR,20001,Sentencias judiciales,2024,Asignados,3,312158140
CESAR,20,AGUSTIN CODAZZI,20013,Convocatoria,2022,Asignados,30,1927800000
CESAR,20,AGUSTIN CODAZZI,20013,Convocatoria,2023,Asignados,2,149083200
CESAR,20,AGUSTIN CODAZZI,20013,Sentencias judiciales,2023,Asignados,1,100846900
CESAR,20,AGUSTIN CODAZZI,20013,Sentencias judiciales,2024,Asignados,2,216867000
CESAR,20,ASTREA,20032,Sentencias judiciales,2024,Asignados,1,109499740
CESAR,20,BECERRIL,20045,Sentencias judiciales,2023,Asignados,9,840982100
CESAR,20,BECERRIL,20045,Sentencias judiciales,2024,Asignados,6,629538000
CESAR,20,BOSCONIA,20060,Sentencias judiciales,2024,Asignados,1,109499740
CESAR,20,CHIMICHAGUA,20175,Sentencias judiciales,2024,Asignados,1,113211350
CESAR,20,CHIRIGUANA,20178,Sentencias judiciales,2024,Asignados,2,229103380
CESAR,20,EL COPEY,20238,Sentencias judiciales,2023,Asignados,1,100549400
CESAR,20,EL COPEY,20238,Sentencias judiciales,2024,Asignados,3,318374700
